Season,Player,Rebounding,Type
2009-2010,Mason Plumlee,66,Defensive Rebound
2010-2011,Mason Plumlee,216,Defensive Rebound
2011-2012,Mason Plumlee,213,Defensive Rebound
2012-2013,Mason Plumlee,260,Defensive Rebound
2008-2009,Miles Plumlee,21,Defensive Rebound
2009-2010,Miles Plumlee,132,Defensive Rebound
2010-2011,Miles Plumlee,106,Defensive Rebound
2011-2012,Miles Plumlee,143,Defensive Rebound
2012-13,Marshall Plumlee,6,Defensive Rebound
2013-14,Marshall Plumlee,29,Defensive Rebound
2014-15,Marshall Plumlee,53,Defensive Rebound
2015-16,Marshall Plumlee,189,Defensive Rebound
2009-2010,Mason Plumlee,39,Offensive Rebound
2010-2011,Mason Plumlee,97,Offensive Rebound
2011-2012,Mason Plumlee,99,Offensive Rebound
2012-2013,Mason Plumlee,98,Offensive Rebound
2008-2009,Miles Plumlee,13,Offensive Rebound
2009-2010,Miles Plumlee,65,Offensive Rebound
2010-2011,Miles Plumlee,71,Offensive Rebound
2011-2012,Miles Plumlee,99,Offensive Rebound
2012-13,Marshall Plumlee,5,Offensive Rebound
2013-14,Marshall Plumlee,36,Offensive Rebound
2014-15,Marshall Plumlee,39,Offensive Rebound
2015-16,Marshall Plumlee,119,Offensive Rebound
