Season,School,Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-2010,Duke,Mason Plumlee,ACC,34,1,480,49,106,0.462,47,98,0.48,2,8,0.25,25,46,0.543,39,66,105,30,18,30,32,73,125
2010-2011,Duke,Mason Plumlee,ACC,37,31,960,112,190,0.589,112,188,0.596,0,2,0,41,93,0.441,97,216,313,57,35,62,73,96,265
2011-2012,Duke,Mason Plumlee,ACC,34,31,964,143,250,0.572,143,250,0.572,0,0,,93,176,0.528,99,213,312,55,26,55,74,86,379
2012-2013,Duke,Mason Plumlee,ACC,36,36,1248,221,369,0.599,221,369,0.599,0,0,,173,254,0.681,98,260,358,70,36,52,103,92,615
Mason Career,Duke,Mason Plumlee,ACC,141,99,3652,525,915,0.574,523,905,0.578,2,10,0.2,332,569,0.583,333,5.4,755,1088,115,199,282,347,1384
2008-2009,Duke,Miles Plumlee,ACC,24,2,165,18,38,0.474,18,38,0.474,0,0,0,6,11,0.545,13,21,34,1,4,12,20,37,42
2009-2010,Duke,Miles Plumlee,ACC,40,24,654,83,148,0.561,82,147,0.558,1,1,1,39,59,0.661,65,132,197,12,20,26,43,103,206
2010-2011,Duke,Miles Plumlee,ACC,37,16,617,72,138,0.522,72,138,0.522,0,0,0,32,54,0.593,71,106,177,14,20,17,33,88,176
2011-2012,Duke,Miles Plumlee,ACC,34,16,697,89,146,0.61,89,146,0.61,0,0,0,48,76,0.632,99,143,242,18,18,32,42,78,226
Miles Career,Duke,Miles Plumlee,ACC,135,58,2133,262,470,0.557,261,469,0.557,1,1,1,125,200,0.625,248,402,650,45,62,87,138,306,650
2012-13,Duke,Marshall Plumlee,ACC,19,0,50,1,8,0.125,1,8,0.125,0,0,,0,8,0,5,6,11,1,3,3,5,5,2
2013-14,Duke,Marshall Plumlee,ACC,30,0,253,16,29,0.552,16,29,0.552,0,0,,6,17,0.353,36,29,65,8,6,17,10,29,38
2014-15,Duke,Marshall Plumlee,ACC,39,0,375,32,42,0.762,31,41,0.756,1,1,1,22,31,0.71,39,53,92,12,8,22,14,58,87
2015-16,Duke,Marshall Plumlee,ACC,36,36,1099,106,154,0.688,106,154,0.688,0,0,,88,153,0.575,119,189,308,38,27,58,39,100,300
Marshall Career,Duke,Marshall Plumlee,ACC,124,36,1777,155,233,0.665,154,232,0.664,1,1,1,116,209,0.555,199,277,476,59,44,100,68,192,427
