Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Golden State Warriors,Draymond Green,25,81,81,2808,401,819,0.49,100,258,0.388,301,561,0.537,0.511,299,329,0.696,134,635,769,598,119,113,259,240,1131
Golden State Warriors,Stephen Curry,27,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375
Golden State Warriors,Klay Thompson,25,80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771
Golden State Warriors,Harrison Barnes,23,66,59,2042,295,633,0.466,82,214,0.383,213,419,0.508,0.531,102,134,0.761,77,248,325,117,41,10,57,136,774
Golden State Warriors,Andre Igudala,32,65,1,1732,176,368,0.478,54,154,0.351,122,214,0.57,0.552,51,83,0.614,52,211,263,219,73,19,79,102,457
Golden State Warriors,Shaun Livingston,30,78,3,1520,203,379,0.536,2,12,0.167,201,367,0.548,0.538,80,93,0.86,42,127,169,237,57,27,78,140,488
Golden State Warriors,Andrew Bogut,31,70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,33,114,83,221,375
Golden State Warriors,Leandro Barbosa,33,68,0,1079,171,370,0.462,39,110,0.355,132,260,0.508,0.515,52,62,0.839,28,89,117,82,44,10,53,107,433
Golden State Warriors,Brandon Rush,30,72,25,1055,111,260,0.427,65,157,0.414,46,103,0.447,0.552,18,28,0.643,21,160,181,57,20,23,33,57,305
Golden State Warriors,Marreese Speights,28,72,0,832,197,456,0.432,24,62,0.387,173,394,0.439,0.458,94,114,0.825,77,162,239,61,19,34,66,117,512
Golden State Warriors,Fetus Ezeli,26,46,13,770,125,228,0.548,0,0,0,125,228,0.548,0.548,70,132,0.53,91,166,257,32,18,50,38,94,320
Golden State Warriors,Ian Clark,24,66,1,578,89,202,0.441,30,84,0.357,59,118,0.5,0.515,28,34,0.824,13,55,68,64,17,13,43,58,236
Golden State Warriors,James Michael McAdoo,23,41,1,262,45,84,0.536,1,2,0.5,44,82,0.537,0.542,26,49,0.531,30,28,58,17,10,8,16,39,117
Golden State Warriors,Anderson Varejao,33,22,0,186,21,48,0.438,0,0,0,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58
Golden State Warriors,Jason Thompson,29,28,1,179,20,42,0.476,0,0,0,20,42,0.476,0.476,20,32,0.625,10,44,54,19,4,8,7,40,60
Golden State Warriors,Kevon Looney,19,5,0,21,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,0,4,6,10,0,0,0,1,2,9
Chicago Bulls,Michael Jordan,32,82,82,3090,916,1850,0.495,111,260,0.427,805,1590,0.506,0.525,548,657,0.834,148,395,543,352,180,42,197,195,2491
Chicago Bulls,Scottie Pippen,30,77,77,2825,563,1216,0.463,150,401,0.374,413,815,0.507,0.525,220,324,0.679,152,344,496,452,133,57,207,198,1496
Chicago Bulls,Toni Kukoč,27,81,20,2103,386,787,0.49,87,216,0.403,299,571,0.524,0.546,206,267,0.772,115,208,323,287,64,28,114,150,1065
Chicago Bulls,Dennis Rodman,34,64,57,2088,146,304,0.48,3,27,0.111,143,277,0.516,0.485,56,106,0.528,356,596,952,160,36,27,138,196,351
Chicago Bulls,Steve Kerr,30,82,0,1919,244,482,0.506,122,237,0.515,122,245,0.498,0.633,78,84,0.929,25,85,110,192,63,2,42,109,688
Chicago Bulls,Ron Harper,32,80,80,1886,234,501,0.467,28,104,0.269,206,397,0.519,0.495,98,139,0.705,74,139,213,208,105,32,73,137,594
Chicago Bulls,Luc Longley,27,62,62,1641,242,502,0.482,0,0,0,242,502,0.482,0.482,80,103,0.777,104,214,318,119,22,84,114,223,564
Chicago Bulls,Bill Wennington,32,71,20,1065,169,343,0.493,1,1,1,168,342,0.491,0.494,37,43,0.86,58,116,174,46,21,16,37,171,376
Chicago Bulls,Jud Buechler,27,74,0,740,112,242,0.463,40,90,0.444,72,152,0.474,0.545,14,22,0.636,45,66,111,56,34,7,39,70,278
Chicago Bulls,Dickey Simpkins,23,60,12,685,77,160,0.481,1,1,1,76,159,0.478,0.484,61,97,0.629,66,90,156,38,9,8,56,78,216
Chicago Bulls,Randy Brown,27,68,0,671,78,192,0.406,1,11,0.091,77,181,0.425,0.409,28,46,0.609,17,49,66,73,57,12,31,88,185
Chicago Bulls,Jason Caffey,22,57,0,545,71,162,0.438,0,1,0,71,161,0.441,0.438,40,68,0.588,51,60,111,24,12,7,48,91,182
Chicago Bulls,James Edwards,40,28,0,274,41,110,0.373,0,0,0,41,110,0.373,0.373,16,26,0.615,15,25,40,11,1,8,21,61,98
Chicago Bulls,John Salley,31,17,0,191,12,35,0.343,0,0,0,12,35,0.343,0.343,12,20,0.6,20,23,43,15,8,15,16,38,36
Chicago Bulls,Jack Haley,32,1,0,7,2,6,0.333,0,0,0,2,6,0.333,0.333,1,2,0.5,1,1,2,0,0,0,1,2,5
