Team,Season,G,Month,Date,where,Opp,W_L,TmPts,OppPts,TeamFG,TeamFGA,FGPCT,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Chicago Bulls,1995-95,1,1995-11-03,1995-11-03,,CHH,W,105,91,43,86,0.5,4,11,0.364,15,23,0.652,15,42,29,10,3,13,27
Chicago Bulls,1995-95,2,1995-11-04,1995-11-04,,BOS,W,107,85,43,88,0.489,4,11,0.364,17,25,0.68,12,45,30,12,7,17,31
Chicago Bulls,1995-95,3,1995-11-07,1995-11-07,,TOR,W,117,108,44,80,0.55,7,14,0.5,22,29,0.759,8,32,28,13,3,14,26
Chicago Bulls,1995-95,4,1995-11-09,1995-11-09,@,CLE,W,106,88,41,79,0.519,9,15,0.6,15,19,0.789,12,43,32,5,5,18,21
Chicago Bulls,1995-95,5,1995-11-11,1995-11-11,,POR,W,110,106,40,81,0.494,6,21,0.286,24,30,0.8,11,34,24,6,4,9,25
Chicago Bulls,1995-95,6,1995-11-14,1995-11-14,@,ORL,L,88,94,35,89,0.393,8,21,0.381,10,19,0.526,19,44,24,8,2,19,32
Chicago Bulls,1995-95,7,1995-11-15,1995-11-15,,CLE,W,113,94,43,77,0.558,8,12,0.667,19,25,0.76,13,35,30,10,3,14,20
Chicago Bulls,1995-95,8,1995-11-17,1995-11-17,,NJN,W,109,94,45,87,0.517,4,10,0.4,15,17,0.882,13,37,31,11,5,18,23
Chicago Bulls,1995-95,9,1995-11-21,1995-11-21,@,DAL,W,108,102,42,93,0.452,3,12,0.25,21,26,0.808,12,50,16,6,14,13,25
Chicago Bulls,1995-95,10,1995-11-22,1995-11-22,@,SAS,W,103,94,41,92,0.446,1,8,0.125,20,28,0.714,17,51,23,8,1,12,34
Chicago Bulls,1995-95,11,1995-11-24,1995-11-24,@,UTA,W,90,85,31,76,0.408,6,13,0.462,22,33,0.667,13,52,18,5,5,13,25
Chicago Bulls,1995-95,12,1995-11-26,1995-11-26,@,SEA,L,92,97,32,74,0.432,3,18,0.167,25,43,0.581,15,44,25,11,3,12,32
Chicago Bulls,1995-95,13,1995-11-27,1995-11-27,@,POR,W,107,104,45,82,0.549,3,10,0.3,14,18,0.778,4,26,28,12,1,11,24
Chicago Bulls,1995-95,14,1995-11-30,1995-11-30,@,VAN,W,94,88,40,87,0.46,3,13,0.231,11,16,0.688,16,46,27,13,3,15,22
Chicago Bulls,1995-95,15,1995-12-02,1995-12-02,@,LAC,W,104,98,39,83,0.47,2,12,0.167,24,29,0.828,14,46,19,14,3,18,23
Chicago Bulls,1995-95,16,1995-12-06,1995-12-06,,NYK,W,101,94,37,84,0.44,5,12,0.417,22,27,0.815,16,48,28,8,2,9,22
Chicago Bulls,1995-95,17,1995-12-08,1995-12-08,,SAS,W,106,87,42,80,0.525,7,14,0.5,15,19,0.789,12,46,23,7,3,11,25
Chicago Bulls,1995-95,18,1995-12-09,1995-12-09,@,MIL,W,118,106,47,81,0.58,6,10,0.6,18,26,0.692,15,40,22,7,2,7,26
Chicago Bulls,1995-95,19,1995-12-13,1995-12-13,,ORL,W,112,103,44,86,0.512,8,21,0.381,16,22,0.727,18,49,22,6,5,15,19
Chicago Bulls,1995-95,20,1995-12-14,1995-12-14,@,ATL,W,127,108,50,84,0.595,9,17,0.529,18,24,0.75,13,39,29,6,7,14,21
Chicago Bulls,1995-95,21,1995-12-16,1995-12-16,,LAL,W,108,88,39,90,0.433,6,14,0.429,24,32,0.75,22,57,24,11,7,14,18
Chicago Bulls,1995-95,22,1995-12-18,1995-12-18,@,BOS,W,123,114,48,84,0.571,4,12,0.333,23,33,0.697,10,41,28,10,6,16,29
Chicago Bulls,1995-95,23,1995-12-19,1995-12-19,,DAL,W,114,101,42,82,0.512,2,6,0.333,28,31,0.903,15,46,26,9,3,17,16
Chicago Bulls,1995-95,24,1995-12-22,1995-12-22,,TOR,W,113,104,43,88,0.489,11,19,0.579,16,17,0.941,14,42,25,7,6,11,15
Chicago Bulls,1995-95,25,1995-12-23,1995-12-23,,UTA,W,100,86,42,81,0.519,7,14,0.5,9,14,0.643,13,41,22,13,6,11,22
Chicago Bulls,1995-95,26,1995-12-26,1995-12-26,@,IND,L,97,103,38,87,0.437,6,13,0.462,15,24,0.625,17,47,19,6,4,14,25
Chicago Bulls,1995-95,27,1995-12-29,1995-12-29,,IND,W,120,93,42,87,0.483,9,17,0.529,27,35,0.771,16,46,24,9,6,13,23
Chicago Bulls,1995-95,28,1995-12-30,1995-12-30,,ATL,W,95,93,36,85,0.424,6,17,0.353,17,22,0.773,20,50,17,9,3,20,17
Chicago Bulls,1995-95,29,1996-01-03,1996-01-03,,HOU,W,100,86,43,95,0.453,4,17,0.235,10,12,0.833,18,50,30,11,2,13,23
Chicago Bulls,1995-95,30,1996-01-04,1996-01-04,@,CHH,W,117,93,49,91,0.538,4,10,0.4,15,17,0.882,14,40,29,6,3,11,19
Chicago Bulls,1995-95,31,1996-01-06,1996-01-06,,MIL,W,113,84,45,85,0.529,4,12,0.333,19,25,0.76,20,51,27,9,3,19,26
Chicago Bulls,1995-95,32,1996-01-10,1996-01-10,,SEA,W,113,87,44,74,0.595,9,15,0.6,16,23,0.696,11,48,27,7,5,23,19
Chicago Bulls,1995-95,33,1996-01-13,1996-01-13,@,PHI,W,120,93,45,96,0.469,9,16,0.563,21,22,0.955,19,49,28,11,6,10,17
